incidente_id,cliente_id,email_cliente,telefono_cliente,categoria,estado,prioridad,fecha_creacion,tiempo_resolucion_horas
INC-0001,CLI-0002,cliente1@example.com,+57 300 100 0001,queja,abierto,baja,2026-07-02,
INC-0002,CLI-0003,cliente2@example.com,+57 300 100 0002,queja,abierto,media,2026-07-03,
INC-0003,CLI-0004,cliente3@example.com,+57 300 100 0003,queja,abierto,alta,2026-07-04,
INC-0004,CLI-0005,cliente4@example.com,+57 300 100 0004,queja,abierto,baja,2026-07-05,
INC-0005,CLI-0006,cliente5@example.com,+57 300 100 0005,queja,abierto,media,2026-07-06,
INC-0006,CLI-0007,cliente6@example.com,+57 300 100 0006,queja,abierto,alta,2026-07-07,
INC-0007,CLI-0008,cliente7@example.com,+57 300 100 0007,queja,abierto,baja,2026-07-08,
INC-0008,CLI-0009,cliente8@example.com,+57 300 100 0008,queja,abierto,media,2026-07-09,
INC-0009,CLI-0010,cliente9@example.com,+57 300 100 0009,queja,abierto,alta,2026-07-10,
INC-0010,CLI-0011,cliente10@example.com,+57 300 100 0010,queja,abierto,baja,2026-07-11,
INC-0011,CLI-0012,cliente11@example.com,+57 300 100 0011,queja,abierto,media,2026-07-12,
INC-0012,CLI-0013,cliente12@example.com,+57 300 100 0012,queja,abierto,alta,2026-07-13,
INC-0013,CLI-0014,cliente13@example.com,+57 300 100 0013,queja,abierto,baja,2026-07-14,
INC-0014,CLI-0015,cliente14@example.com,+57 300 100 0014,queja,abierto,media,2026-07-15,
INC-0015,CLI-0016,cliente15@example.com,+57 300 100 0015,queja,abierto,alta,2026-07-16,
INC-0016,CLI-0017,cliente16@example.com,+57 300 100 0016,queja,abierto,baja,2026-07-17,
INC-0017,CLI-0018,cliente17@example.com,+57 300 100 0017,queja,abierto,media,2026-07-18,
INC-0018,CLI-0019,cliente18@example.com,+57 300 100 0018,queja,abierto,alta,2026-07-19,
INC-0019,CLI-0020,cliente19@example.com,+57 300 100 0019,queja,abierto,baja,2026-07-20,
INC-0020,CLI-0021,cliente20@example.com,+57 300 100 0020,queja,abierto,media,2026-07-21,
INC-0021,CLI-0022,cliente21@example.com,+57 300 100 0021,queja,en_proceso,alta,2026-07-22,
INC-0022,CLI-0023,cliente22@example.com,+57 300 100 0022,queja,en_proceso,baja,2026-07-23,
INC-0023,CLI-0024,cliente23@example.com,+57 300 100 0023,queja,en_proceso,media,2026-07-24,
INC-0024,CLI-0025,cliente24@example.com,+57 300 100 0024,queja,en_proceso,alta,2026-07-25,
INC-0025,CLI-0026,cliente25@example.com,+57 300 100 0025,queja,en_proceso,baja,2026-07-26,
INC-0026,CLI-0027,cliente26@example.com,+57 300 100 0026,queja,en_proceso,media,2026-07-27,
INC-0027,CLI-0028,cliente27@example.com,+57 300 100 0027,queja,en_proceso,alta,2026-07-28,
INC-0028,CLI-0029,cliente28@example.com,+57 300 100 0028,queja,en_proceso,baja,2026-07-01,
INC-0029,CLI-0030,cliente29@example.com,+57 300 100 0029,queja,en_proceso,media,2026-07-02,
INC-0030,CLI-0031,cliente30@example.com,+57 300 100 0030,queja,en_proceso,alta,2026-07-03,
INC-0031,CLI-0001,cliente31@example.com,+57 300 100 0031,solicitud,en_proceso,baja,2026-07-04,
INC-0032,CLI-0002,cliente32@example.com,+57 300 100 0032,solicitud,en_proceso,media,2026-07-05,
INC-0033,CLI-0003,cliente33@example.com,+57 300 100 0033,solicitud,en_proceso,alta,2026-07-06,
INC-0034,CLI-0004,cliente34@example.com,+57 300 100 0034,solicitud,en_proceso,baja,2026-07-07,
INC-0035,CLI-0005,cliente35@example.com,+57 300 100 0035,solicitud,en_proceso,media,2026-07-08,
INC-0036,CLI-0006,cliente36@example.com,+57 300 100 0036,solicitud,en_proceso,alta,2026-07-09,
INC-0037,CLI-0007,cliente37@example.com,+57 300 100 0037,solicitud,en_proceso,baja,2026-07-10,
INC-0038,CLI-0008,cliente38@example.com,+57 300 100 0038,solicitud,en_proceso,media,2026-07-11,
